Primary Cell Line Name,Compound,IC50 (uM)
1321N1,AEW541,8
22Rv1,AEW541,2.329924107
42-MG-BA,AEW541,2.68212986
5637,AEW541,5.002314091
639-V,AEW541,1.736181378
697,AEW541,4.260821819
769-P,AEW541,8
786-O,AEW541,7.613147736
8305C,AEW541,4.95063591
8505C,AEW541,8
8-MG-BA,AEW541,3.88834095
A172,AEW541,8
A-204,AEW541,5.150311947
A2058,AEW541,5.513091087
A-253,AEW541,8
A2780,AEW541,6.50890398
A-375,AEW541,2.755423546
A549,AEW541,1.954786897
A-673,AEW541,1.127677202
ACHN,AEW541,7.67290926
ALL-SIL,AEW541,2.558496475
AMO-1,AEW541,0.194509948
AN3 CA,AEW541,8
AsPC-1,AEW541,1.427774787
AU565,AEW541,8
AZ-521,AEW541,1.152510881
B-CPAP,AEW541,5.10525465
BDCM,AEW541,4.972634551
BFTC-909,AEW541,8
BGC-823,AEW541,2.397457123
BL-41,AEW541,8
BL-70,AEW541,8
BT-20,AEW541,8
BT-474,AEW541,8
BT-549,AEW541,5.445250988
BxPC-3,AEW541,2.82433486
C2BBe1,AEW541,3.098077059
C32,AEW541,6.354580879
C3A,AEW541,3.194922396
Caki-2,AEW541,8
CAL-12T,AEW541,0.795476556
CAL 27,AEW541,5.387672424
CAL-78,AEW541,5.521905899
CAL-85-1,AEW541,2.28115654
Calu-1,AEW541,8
Calu-3,AEW541,7.724710464
Calu-6,AEW541,2.476439953
CAMA-1,AEW541,8
Capan-2,AEW541,0.432746449
CAS-1,AEW541,8
CCK-81,AEW541,2.329223689
CHL-1,AEW541,7.182005882
CHP-212,AEW541,1.560035467
CI-1,AEW541,8
CMK-86,AEW541,3.686611891
COLO 201,AEW541,3.582765341
COLO 205,AEW541,2.701482058
COLO-320,AEW541,1.450278282
COLO-677,AEW541,8
COLO-678,AEW541,7.851645947
COLO-679,AEW541,8
COLO-699,AEW541,2.213190556
COLO 741,AEW541,3.343924522
COR-L105,AEW541,8
COR-L23,AEW541,8
COV318,AEW541,8
COV504,AEW541,7.504933834
Daoy,AEW541,8
DBTRG-05MG,AEW541,8
DEL,AEW541,5.428296566
Detroit 562,AEW541,8
DK-MG,AEW541,8
DMS 114,AEW541,0.851508498
DOHH-2,AEW541,1.220665687
DOV13,AEW541,5.035466671
DU 145,AEW541,6.68214941
DV-90,AEW541,8
EB1,AEW541,8
EB2,AEW541,8
EBC-1,AEW541,5.164176464
EFE-184,AEW541,8
EFM-19,AEW541,8
EFO-21,AEW541,8
EFO-27,AEW541,8
EM-2,AEW541,8
EN,AEW541,8
ES-2,AEW541,8
ESS-1,AEW541,3.300646305
F-36P,AEW541,0.306566536
FaDu,AEW541,8
FU97,AEW541,3.990180492
FU-OV-1,AEW541,1.314902544
G-361,AEW541,3.611555099
G-401,AEW541,1.411224127
G-402,AEW541,8
GAMG,AEW541,8
GB-1,AEW541,8
GCIY,AEW541,8
GCT,AEW541,3.994412184
GI-1,AEW541,8
GLC-82,AEW541,8
GMS-10,AEW541,8
GRANTA-519,AEW541,8
H4,AEW541,8
HARA,AEW541,8
HCC1187,AEW541,8
HCC1395,AEW541,8
HCC-15,AEW541,8
HCC1569,AEW541,8
HCC1806,AEW541,7.206761837
HCC1954,AEW541,7.284452438
HCC2935,AEW541,8
HCC4006,AEW541,8
HCC-44,AEW541,6.621147633
HCC-56,AEW541,8
HCC70,AEW541,8
HCC-78,AEW541,8
HCC827,AEW541,4.255412994
HCT 116,AEW541,8
HCT-15,AEW541,4.63055563
HD-MY-Z,AEW541,4.04467392
HDQ-P1,AEW541,7.002896786
HEC-151,AEW541,8
HEC-1-A,AEW541,8
HEC-1-B,AEW541,7.18392086
HEC-251,AEW541,8
HEC-265,AEW541,8
HEC-59,AEW541,8
HEC-6,AEW541,8
HEL 92.1.7,AEW541,8
Hep 3B2.1-7,AEW541,2.40823555
Hep G2,AEW541,2.963089466
Hey-A8,AEW541,8
HGC-27,AEW541,5.460076809
HH,AEW541,8
HLE,AEW541,8
HLF,AEW541,7.483052254
HMC-1-8,AEW541,3.805550575
HMCB,AEW541,5.239208221
HOS,AEW541,8
HPAC,AEW541,3.257027626
HPAF-II,AEW541,1.415435689
Hs 229.T,AEW541,8
Hs 294T,AEW541,3.668646574
Hs 578T,AEW541,8
Hs 683,AEW541,6.85484457
Hs 695T,AEW541,6.037502289
Hs 729,AEW541,4.69119978
Hs 739.T,AEW541,7.017650604
Hs 746T,AEW541,6.633160591
Hs 766T,AEW541,8
Hs 840.T,AEW541,8
Hs 852.T,AEW541,0.932404697
Hs 895.T,AEW541,2.193813385
Hs 936.T,AEW541,8
Hs 939.T,AEW541,8
Hs 944.T,AEW541,8
HSC-2,AEW541,8
HT,AEW541,8
HT-1080,AEW541,7.100716114
HT-1197,AEW541,3.332540035
HT-1376,AEW541,8
HT-144,AEW541,4.869328499
HT-29,AEW541,1.376474261
HuCCT1,AEW541,8
huH-1,AEW541,1.66758883
HUP-T3,AEW541,8
HUP-T4,AEW541,1.387827429
HuT 78,AEW541,1.822629352
IA-LM,AEW541,8
IGR-37,AEW541,0.13937079
IGR-39,AEW541,8
IGROV1,AEW541,8
IM95,AEW541,8
IMR-32,AEW541,2.705385923
IPC-298,AEW541,4.911699772
Ishikawa (Heraklio) 02 ER-,AEW541,8
IST-MES1,AEW541,6.513892495
IST-MES2,AEW541,8
J82,AEW541,8
JHH-2,AEW541,8
JHH-4,AEW541,7.419638634
JHH-5,AEW541,3.495026588
JHH-6,AEW541,8
JHH-7,AEW541,1.806263089
JHOS-2,AEW541,4.9757967
JHOS-4,AEW541,3.452549696
JHUEM-2,AEW541,8
JM1,AEW541,8
JMSU-1,AEW541,2.492431164
JURKAT,AEW541,5.302770138
JVM-3,AEW541,7.611978054
K029AX,AEW541,4.483352184
KALS-1,AEW541,8
KARPAS-299,AEW541,8
KARPAS-422,AEW541,3.330083609
KARPAS-620,AEW541,0.515746772
KASUMI-2,AEW541,6.684100151
KCI-MOH1,AEW541,1.767559767
KCL-22,AEW541,6.837701797
KE-39,AEW541,3.493362665
KE-97,AEW541,8
KELLY,AEW541,8
KG-1,AEW541,2.640584832
KHM-1B,AEW541,0.246601477
KLE,AEW541,8
KMBC-2,AEW541,8
KMM-1,AEW541,1.40566361
KMRC-1,AEW541,8
KMRC-2,AEW541,0.482534881
KMS-11,AEW541,0.279543102
KMS-12-BM,AEW541,5.433550026
KMS-26,AEW541,0.651424348
KMS-34,AEW541,0.484309763
KNS-42,AEW541,6.282463074
KNS-60,AEW541,8
KNS-62,AEW541,8
KNS-81,AEW541,6.037409782
KO52,AEW541,6.777762554
KP-1N,AEW541,8
KP-1NL,AEW541,8
KP-2,AEW541,6.969734669
KP-3,AEW541,8
KP4,AEW541,4.758481979
KP-N-SI9s,AEW541,1.030234575
KU812,AEW541,8
KURAMOCHI,AEW541,2.929866552
KYM-1,AEW541,8
KYSE-140,AEW541,1.963032126
KYSE-150,AEW541,8
KYSE-180,AEW541,3.612831354
KYSE-30,AEW541,8
KYSE-410,AEW541,2.273355246
KYSE-450,AEW541,8
KYSE-510,AEW541,4.977478504
KYSE-520,AEW541,5.148413658
KYSE-70,AEW541,1.257513762
L3.3,AEW541,8
L-363,AEW541,0.598104239
L-428,AEW541,8
LC-1/sq-SF,AEW541,8
LCLC-103H,AEW541,8
LN-18,AEW541,4.497424126
LN-229,AEW541,8
LOU-NH91,AEW541,8
LOX IMVI,AEW541,8
LP-1,AEW541,0.24403888
LS123,AEW541,7.638451099
LS411N,AEW541,2.996136665
LS513,AEW541,0.539358318
LU99,AEW541,1.975981355
LUDLU-1,AEW541,1.434306904
M059J,AEW541,8
Malme-3M,AEW541,2.855088949
MB 157,AEW541,0.309648394
MC116,AEW541,8
MCAS,AEW541,6.092284679
MCF7,AEW541,0.716056585
MDA-MB-157,AEW541,8
MDA-MB-175-VII,AEW541,8
MDA-MB-415,AEW541,4.382416034
MDA-MB-435S,AEW541,5.687198162
MDA-MB-436,AEW541,8
MDA-MB-453,AEW541,4.530221939
MDA-MB-468,AEW541,2.823380709
MEC-1,AEW541,8
MEG-01,AEW541,8
MEL-HO,AEW541,5.168223858
MES-SA,AEW541,8
MeWo,AEW541,8
MFE-280,AEW541,8
MFE-296,AEW541,7.501813412
MFE-319,AEW541,7.701841831
MG-63,AEW541,3.710702658
MHH-ES-1,AEW541,1.775179029
MIA PaCa-2,AEW541,2.861631393
Mino,AEW541,5.570897102
MJ,AEW541,8
MKN-45,AEW541,8
MKN7,AEW541,8
MKN74,AEW541,3.769882917
MOG-G-CCM,AEW541,8
MOLP-8,AEW541,0.331311166
MOLT-16,AEW541,5.809138775
MONO-MAC-1,AEW541,1.44956553
MOR/CPR,AEW541,8
MPP 89,AEW541,8
MSTO-211H,AEW541,8
NCI-H1048,AEW541,8
NCI-H1092,AEW541,8
NCI-H1155,AEW541,7.266235352
NCI-H1184,AEW541,8
NCI-H1299,AEW541,5.331521988
NCI-H1339,AEW541,8
NCI-H1341,AEW541,0.334254905
NCI-H1355,AEW541,4.051389694
NCI-H1373,AEW541,8
NCI-H1563,AEW541,8
NCI-H1568,AEW541,8
NCI-H1573,AEW541,8
NCI-H1581,AEW541,8
NCI-H1648,AEW541,8
NCI-H1650,AEW541,8
NCI-H1651,AEW541,8
NCI-H1666,AEW541,3.147583485
NCI-H1693,AEW541,8
NCI-H1694,AEW541,8
NCI-H1703,AEW541,8
NCI-H1792,AEW541,4.73042202
NCI-H1793,AEW541,6.899638653
NCI-H1869,AEW541,8
NCI-H1915,AEW541,8
NCI-H1944,AEW541,8
NCI-H1975,AEW541,8
NCI-H2009,AEW541,8
NCI-H2023,AEW541,2.513386011
NCI-H2030,AEW541,5.780652523
NCI-H2052,AEW541,8
NCI-H2085,AEW541,8
NCI-H2087,AEW541,7.722693443
NCI-H211,AEW541,1.58294487
NCI-H2122,AEW541,0.136573295
NCI-H2170,AEW541,8
NCI-H2172,AEW541,8
NCI-H2228,AEW541,8
NCI-H226,AEW541,8
NCI-H2286,AEW541,8
NCI-H23,AEW541,4.463423729
NCI-H2444,AEW541,8
NCI-H2452,AEW541,8
NCI-H28,AEW541,6.431872368
NCI-H322,AEW541,2.894480705
NCI-H3255,AEW541,2.828068733
NCI-H358,AEW541,6.799887657
NCI-H441,AEW541,4.720984459
NCI-H460,AEW541,6.268196106
NCI-H520,AEW541,8
NCI-H522,AEW541,8
NCI-H647,AEW541,8
NCI-H650,AEW541,7.875080109
NCI-H661,AEW541,1.165132165
NCI-H727,AEW541,1.014342308
NCI-H747,AEW541,2.882367373
NCI-H810,AEW541,2.855264425
NCI-N87,AEW541,8
NCO2,AEW541,1.640427891
NIH:OVCAR-3,AEW541,8
NUGC-3,AEW541,8
NUGC-4,AEW541,8
OC 314,AEW541,8
OC 315,AEW541,8
OC 316,AEW541,8
OCI-AML2,AEW541,8
OCI-AML5,AEW541,1.238248587
OCI-LY10,AEW541,8
OCUM-1,AEW541,8
OE21,AEW541,3.488161087
OE33,AEW541,5.732457638
ONCO-DG-1,AEW541,8
ONS-76,AEW541,8
OPM-2,AEW541,8
OV-90,AEW541,5.757698536
OVCAR-4,AEW541,8
OVCAR-8,AEW541,6.789673858
OVMANA,AEW541,6.485648155
OVSAHO,AEW541,8
OVTOKO,AEW541,8
P12-ICHIKAWA,AEW541,8
P31/FUJ,AEW541,8
P3HR-1,AEW541,8
Panc 02.03,AEW541,2.612711668
Panc 03.27,AEW541,8
Panc 04.03,AEW541,4.073606968
Panc 10.05,AEW541,5.787849903
PA-TU-8902,AEW541,3.122636318
PC-14,AEW541,3.168638706
PC-3,AEW541,8
Pfeiffer,AEW541,4.087836742
PK-1,AEW541,6.92267704
PK-45H,AEW541,4.884536743
PK-59,AEW541,6.614031792
PL45,AEW541,6.320603371
PLC/PRF/5,AEW541,8
PSN1,AEW541,8
QGP-1,AEW541,2.374111414
Raji,AEW541,8
RD,AEW541,2.800314665
Reh,AEW541,4.657880306
RERF-GC-1B,AEW541,1.708191752
RERF-LC-AI,AEW541,7.204105377
RERF-LC-MS,AEW541,8
RKN,AEW541,8
RKO,AEW541,5.750892162
RL95-2,AEW541,5.130570412
RPMI-7951,AEW541,6.750865459
RPMI-8402,AEW541,2.837511778
RT-112,AEW541,0.986451328
RT4,AEW541,8
RVH-421,AEW541,8
Saos-2,AEW541,1.990697145
SBC-5,AEW541,5.445501804
SCaBER,AEW541,8
SCC-9,AEW541,3.918442249
SF126,AEW541,5.494321346
SF-295,AEW541,8
SF8657,AEW541,4.629204273
SH-10-TC,AEW541,8
SHP-77,AEW541,8
SIG-M5,AEW541,0.645289063
SIMA,AEW541,0.458457559
SJRH30,AEW541,2.002167225
SJSA-1,AEW541,4.113285542
SK-BR-3,AEW541,8
SK-CO-1,AEW541,5.90115118
SK-ES-1,AEW541,0.870741844
SK-HEP-1,AEW541,8
SK-LMS-1,AEW541,2.315295696
SK-LU-1,AEW541,7.528018475
SK-MEL-2,AEW541,8
SK-MEL-24,AEW541,4.403829575
SK-MEL-30,AEW541,5.28609705
SK-MEL-31,AEW541,5.749213696
SK-MEL-5,AEW541,3.740865231
SK-MES-1,AEW541,1.964178443
SK-MM-2,AEW541,8
SK-N-AS,AEW541,8
SK-N-BE(2),AEW541,8
SK-N-DZ,AEW541,1.299999714
SK-N-FI,AEW541,0.164886089
SK-N-SH,AEW541,0.850266755
SK-OV-3,AEW541,5.594051361
SNG-M,AEW541,8
SNU-1,AEW541,6.077795982
SNU-16,AEW541,6.012235641
SNU-182,AEW541,8
SNU-387,AEW541,8
SNU-398,AEW541,8
SNU-423,AEW541,8
SNU-449,AEW541,6.388250351
SNU-475,AEW541,3.255122609
SNU-C2A,AEW541,8
SNU-C2B,AEW541,6.493623734
Sq-1,AEW541,8
SU.86.86,AEW541,8
SU-DHL-10,AEW541,0.179975079
SU-DHL-4,AEW541,3.750186443
SU-DHL-6,AEW541,0.398662927
SU-DHL-8,AEW541,0.356509245
SUIT-2,AEW541,8
SUP-M2,AEW541,8
SUP-T1,AEW541,8
SW 1088,AEW541,8
SW 1271,AEW541,4.892797947
SW 1353,AEW541,8
SW1417,AEW541,3.92724061
SW 1573,AEW541,2.993928194
SW 1990,AEW541,8
SW403,AEW541,1.978198409
SW48,AEW541,0.687492132
SW480,AEW541,6.747029305
SW579,AEW541,8
SW620,AEW541,1.773543596
SW 780,AEW541,4.625792027
SW 900,AEW541,8
T24,AEW541,8
T3M-10,AEW541,8
T-47D,AEW541,8
T84,AEW541,8
T98G,AEW541,6.434046268
TC-71,AEW541,8
TCCSUP,AEW541,8
TE-1,AEW541,6.1320014
TE-11,AEW541,2.821646214
TE-15,AEW541,2.591048241
TE-5,AEW541,8
TE 617.T,AEW541,7.165520937
TE-9,AEW541,8
TEN,AEW541,8
Toledo,AEW541,8
TOV-112D,AEW541,8
TOV-21G,AEW541,8
TT2609-C02,AEW541,2.607459068
TYK-nu,AEW541,3.556990862
U-118 MG,AEW541,8
U-2 OS,AEW541,3.435355663
U-87 MG,AEW541,8
U-937,AEW541,4.784135342
UACC-257,AEW541,8
UACC-62,AEW541,8
UACC-812,AEW541,8
UM-UC-3,AEW541,8
VMRC-LCD,AEW541,8
VMRC-RCW,AEW541,0.816009998
VMRC-RCZ,AEW541,7.681400776
WM-115,AEW541,8
WM1799,AEW541,8
WM-266-4,AEW541,8
WM-793,AEW541,3.232205868
WM-88,AEW541,2.732996702
WM-983B,AEW541,1.557569027
YKG1,AEW541,8
ZR-75-1,AEW541,0.663455608
ZR-75-30,AEW541,8
22Rv1,Nilotinib,8
5637,Nilotinib,7.475354671
639-V,Nilotinib,8
697,Nilotinib,1.910434365
769-P,Nilotinib,8
786-O,Nilotinib,8
8305C,Nilotinib,5.635250228
8505C,Nilotinib,6.852528572
A172,Nilotinib,8
A-204,Nilotinib,1.081994414
A2058,Nilotinib,8
A-253,Nilotinib,8
A2780,Nilotinib,6.804694176
A-375,Nilotinib,8
A549,Nilotinib,6.0388937
ALL-SIL,Nilotinib,0.002952101
AMO-1,Nilotinib,2.226455688
AN3 CA,Nilotinib,8
AsPC-1,Nilotinib,8
AU565,Nilotinib,7.879194736
AZ-521,Nilotinib,8
B-CPAP,Nilotinib,7.456087112
BDCM,Nilotinib,8
BFTC-909,Nilotinib,8
BGC-823,Nilotinib,8
BL-41,Nilotinib,8
BL-70,Nilotinib,8
BT-20,Nilotinib,8
BT-474,Nilotinib,6.892540932
BT-549,Nilotinib,8
C2BBe1,Nilotinib,6.82102108
C32,Nilotinib,8
Caki-2,Nilotinib,8
CAL-78,Nilotinib,8
CAL-85-1,Nilotinib,8
Calu-1,Nilotinib,8
Calu-3,Nilotinib,8
CAMA-1,Nilotinib,6.332070827
Capan-2,Nilotinib,0.062944786
CAS-1,Nilotinib,8
CHL-1,Nilotinib,8
CI-1,Nilotinib,8
CMK-86,Nilotinib,8
COLO 201,Nilotinib,8
COLO 205,Nilotinib,8
COLO-320,Nilotinib,4.991260529
COLO-677,Nilotinib,6.751279831
COLO-678,Nilotinib,8
COLO-679,Nilotinib,7.357892513
COLO-699,Nilotinib,3.351381302
COR-L23,Nilotinib,8
COV318,Nilotinib,7.686830521
COV504,Nilotinib,8
Daoy,Nilotinib,8
DBTRG-05MG,Nilotinib,8
DEL,Nilotinib,6.26444149
Detroit 562,Nilotinib,8
DK-MG,Nilotinib,8
DMS 114,Nilotinib,6.058652401
DOHH-2,Nilotinib,8
DOV13,Nilotinib,8
DU 145,Nilotinib,8
EB1,Nilotinib,8
EB2,Nilotinib,8
EBC-1,Nilotinib,8
EFE-184,Nilotinib,8
EFM-19,Nilotinib,8
EFO-21,Nilotinib,8
EFO-27,Nilotinib,8
EM-2,Nilotinib,0.007538102
EN,Nilotinib,8
F-36P,Nilotinib,6.25021553
FaDu,Nilotinib,5.612988949
FU-OV-1,Nilotinib,8
G-361,Nilotinib,8
G-401,Nilotinib,8
GB-1,Nilotinib,8
GCIY,Nilotinib,6.325265884
GCT,Nilotinib,8
GLC-82,Nilotinib,8
GMS-10,Nilotinib,8
GRANTA-519,Nilotinib,0.379206822
H4,Nilotinib,7.630359173
HCC1187,Nilotinib,8
HCC-15,Nilotinib,8
HCC1569,Nilotinib,8
HCC1806,Nilotinib,7.519812584
HCC1954,Nilotinib,5.009234905
HCC2935,Nilotinib,8
HCC4006,Nilotinib,7.44418478
HCC-56,Nilotinib,8
HCC70,Nilotinib,8
HCC-78,Nilotinib,8
HCT 116,Nilotinib,8
HCT-15,Nilotinib,6.496217728
HDQ-P1,Nilotinib,0.125851952
HEC-151,Nilotinib,7.333292961
HEC-1-A,Nilotinib,6.968556881
HEC-1-B,Nilotinib,4.339510496
HEC-251,Nilotinib,8
HEC-265,Nilotinib,8
HEC-59,Nilotinib,8
HEC-6,Nilotinib,2.039887553
HEL 92.1.7,Nilotinib,8
Hep 3B2.1-7,Nilotinib,4.14665699
Hep G2,Nilotinib,8
Hey-A8,Nilotinib,8
HGC-27,Nilotinib,5.899519444
HH,Nilotinib,8
HLE,Nilotinib,8
HLF,Nilotinib,8
HMC-1-8,Nilotinib,8
HMCB,Nilotinib,7.181233406
HOS,Nilotinib,8
HPAC,Nilotinib,7.072412014
Hs 229.T,Nilotinib,8
Hs 294T,Nilotinib,8
Hs 578T,Nilotinib,8
Hs 683,Nilotinib,8
Hs 695T,Nilotinib,8
Hs 739.T,Nilotinib,8
Hs 746T,Nilotinib,6.016578197
Hs 766T,Nilotinib,8
Hs 840.T,Nilotinib,8
Hs 852.T,Nilotinib,7.286914825
Hs 895.T,Nilotinib,4.720332146
Hs 936.T,Nilotinib,8
Hs 939.T,Nilotinib,7.080129623
Hs 944.T,Nilotinib,8
HSC-2,Nilotinib,8
HT,Nilotinib,8
HT-1197,Nilotinib,8
HT-1376,Nilotinib,8
HT-144,Nilotinib,4.633401871
HT-29,Nilotinib,8
HuCCT1,Nilotinib,8
huH-1,Nilotinib,8
HUP-T3,Nilotinib,8
HUP-T4,Nilotinib,5.09538269
HuT 78,Nilotinib,0.426970909
IA-LM,Nilotinib,8
IGR-37,Nilotinib,8
IGR-39,Nilotinib,8
IGROV1,Nilotinib,8
IM95,Nilotinib,8
IMR-32,Nilotinib,8
IPC-298,Nilotinib,8
IST-MES1,Nilotinib,0.893207331
IST-MES2,Nilotinib,3.565156339
JHH-2,Nilotinib,8
JHH-4,Nilotinib,8
JHH-6,Nilotinib,8
JHOS-2,Nilotinib,8
JHOS-4,Nilotinib,4.287676811
JM1,Nilotinib,7.700304031
JMSU-1,Nilotinib,5.011620998
JURKAT,Nilotinib,8
JVM-3,Nilotinib,2.293517775
K029AX,Nilotinib,8
KALS-1,Nilotinib,8
KARPAS-299,Nilotinib,8
KARPAS-422,Nilotinib,8
KARPAS-620,Nilotinib,8
KASUMI-2,Nilotinib,7.463879585
KCL-22,Nilotinib,0.013746729
KE-39,Nilotinib,4.791784763
KE-97,Nilotinib,8
KG-1,Nilotinib,8
KHM-1B,Nilotinib,2.321830997
KLE,Nilotinib,8
KMBC-2,Nilotinib,8
KMM-1,Nilotinib,2.917067289
KMRC-1,Nilotinib,8
KMRC-2,Nilotinib,8
KMS-11,Nilotinib,4.221470356
KMS-12-BM,Nilotinib,8
KMS-26,Nilotinib,6.001347065
KMS-34,Nilotinib,3.499485731
KNS-42,Nilotinib,8
KNS-60,Nilotinib,8
KNS-81,Nilotinib,8
KO52,Nilotinib,8
KP-1N,Nilotinib,8
KP-1NL,Nilotinib,8
KP-2,Nilotinib,8
KP-3,Nilotinib,8
KP4,Nilotinib,8
KP-N-SI9s,Nilotinib,5.412808418
KU812,Nilotinib,0.016822226
KURAMOCHI,Nilotinib,8
KYSE-30,Nilotinib,8
KYSE-410,Nilotinib,5.128837109
KYSE-520,Nilotinib,6.504006386
L3.3,Nilotinib,8
L-363,Nilotinib,8
L-428,Nilotinib,6.550229549
LC-1/sq-SF,Nilotinib,8
LCLC-103H,Nilotinib,8
LN-18,Nilotinib,8
LN-229,Nilotinib,6.401216984
LOU-NH91,Nilotinib,8
LP-1,Nilotinib,4.030470371
LS123,Nilotinib,8
LS513,Nilotinib,8
LU99,Nilotinib,8
LUDLU-1,Nilotinib,4.289455414
M059J,Nilotinib,8
Malme-3M,Nilotinib,4.411684036
MB 157,Nilotinib,3.224921905
MC116,Nilotinib,8
MCAS,Nilotinib,8
MCF7,Nilotinib,8
MDA-MB-157,Nilotinib,8
MDA-MB-175-VII,Nilotinib,8
MDA-MB-415,Nilotinib,3.974702597
MDA-MB-435S,Nilotinib,6.421111584
MDA-MB-436,Nilotinib,8
MDA-MB-453,Nilotinib,8
MDA-MB-468,Nilotinib,4.322463036
MEC-1,Nilotinib,6.008265495
MEG-01,Nilotinib,0.069269069
MEL-HO,Nilotinib,7.266346931
MES-SA,Nilotinib,8
MeWo,Nilotinib,8
MFE-280,Nilotinib,8
MG-63,Nilotinib,8
MHH-ES-1,Nilotinib,2.536269426
MIA PaCa-2,Nilotinib,8
Mino,Nilotinib,8
MJ,Nilotinib,8
MKN-45,Nilotinib,8
MKN7,Nilotinib,8
MKN74,Nilotinib,8
MOG-G-CCM,Nilotinib,8
MOLP-8,Nilotinib,8
MOLT-16,Nilotinib,2.131068909
MONO-MAC-1,Nilotinib,3.887146473
MPP 89,Nilotinib,8
MSTO-211H,Nilotinib,5.937797546
NCI-H1048,Nilotinib,8
NCI-H1092,Nilotinib,8
NCI-H1184,Nilotinib,8
NCI-H1339,Nilotinib,7.78498888
NCI-H1341,Nilotinib,8
NCI-H1355,Nilotinib,8
NCI-H1373,Nilotinib,8
NCI-H1563,Nilotinib,8
NCI-H1568,Nilotinib,8
NCI-H1573,Nilotinib,8
NCI-H1581,Nilotinib,8
NCI-H1648,Nilotinib,5.590958595
NCI-H1650,Nilotinib,8
NCI-H1651,Nilotinib,8
NCI-H1666,Nilotinib,7.710957527
NCI-H1693,Nilotinib,8
NCI-H1694,Nilotinib,8
NCI-H1792,Nilotinib,8
NCI-H1793,Nilotinib,8
NCI-H1869,Nilotinib,8
NCI-H1915,Nilotinib,8
NCI-H1944,Nilotinib,8
NCI-H1975,Nilotinib,8
NCI-H2009,Nilotinib,8
NCI-H2023,Nilotinib,4.014651299
NCI-H2030,Nilotinib,8
NCI-H2052,Nilotinib,8
NCI-H2085,Nilotinib,8
NCI-H2087,Nilotinib,6.089197159
NCI-H211,Nilotinib,6.046969891
NCI-H2122,Nilotinib,7.855627537
NCI-H2170,Nilotinib,3.32824254
NCI-H2172,Nilotinib,8
NCI-H2228,Nilotinib,8
NCI-H226,Nilotinib,8
NCI-H2286,Nilotinib,2.386837244
NCI-H23,Nilotinib,7.43892622
NCI-H2444,Nilotinib,8
NCI-H2452,Nilotinib,8
NCI-H28,Nilotinib,8
NCI-H322,Nilotinib,8
NCI-H3255,Nilotinib,7.134063244
NCI-H358,Nilotinib,8
NCI-H441,Nilotinib,8
NCI-H520,Nilotinib,8
NCI-H522,Nilotinib,8
NCI-H647,Nilotinib,8
NCI-H650,Nilotinib,8
NCI-H661,Nilotinib,8
NCI-H727,Nilotinib,8
NCI-H747,Nilotinib,8
NCI-H810,Nilotinib,5.777545452
NCI-N87,Nilotinib,3.743279696
NCO2,Nilotinib,0.00760066
NIH:OVCAR-3,Nilotinib,8
NUGC-3,Nilotinib,8
NUGC-4,Nilotinib,4.356728077
OC 314,Nilotinib,8
OC 315,Nilotinib,8
OC 316,Nilotinib,8
OCI-AML2,Nilotinib,6.798111916
OCI-AML5,Nilotinib,7.265676975
OCUM-1,Nilotinib,8
OE21,Nilotinib,0.464579643
OE33,Nilotinib,8
ONCO-DG-1,Nilotinib,8
ONS-76,Nilotinib,8
OPM-2,Nilotinib,8
OV-90,Nilotinib,6.70353508
OVCAR-4,Nilotinib,8
OVCAR-8,Nilotinib,7.570580006
OVMANA,Nilotinib,8
OVSAHO,Nilotinib,8
OVTOKO,Nilotinib,8
P12-ICHIKAWA,Nilotinib,8
P31/FUJ,Nilotinib,8
P3HR-1,Nilotinib,8
Panc 02.03,Nilotinib,8
Panc 03.27,Nilotinib,8
Panc 04.03,Nilotinib,8
Panc 10.05,Nilotinib,8
PC-3,Nilotinib,8
Pfeiffer,Nilotinib,8
PK-1,Nilotinib,8
PK-45H,Nilotinib,8
PK-59,Nilotinib,8
PL45,Nilotinib,8
PLC/PRF/5,Nilotinib,7.693918705
Raji,Nilotinib,8
Reh,Nilotinib,8
RERF-GC-1B,Nilotinib,8
RERF-LC-AI,Nilotinib,8
RERF-LC-MS,Nilotinib,8
RKN,Nilotinib,8
RKO,Nilotinib,8
RL95-2,Nilotinib,8
RPMI-8402,Nilotinib,8
RT-112,Nilotinib,8
RT4,Nilotinib,8
RVH-421,Nilotinib,8
Saos-2,Nilotinib,5.712678432
SBC-5,Nilotinib,8
SCaBER,Nilotinib,8
SF126,Nilotinib,8
SF-295,Nilotinib,8
SF8657,Nilotinib,8
SH-10-TC,Nilotinib,7.97711277
SHP-77,Nilotinib,8
SIG-M5,Nilotinib,1.649600863
SIMA,Nilotinib,8
SJRH30,Nilotinib,8
SK-BR-3,Nilotinib,8
SK-CO-1,Nilotinib,0.15920667
SK-ES-1,Nilotinib,8
SK-HEP-1,Nilotinib,8
SK-LU-1,Nilotinib,8
SK-MEL-2,Nilotinib,8
SK-MEL-24,Nilotinib,6.903137207
SK-MEL-30,Nilotinib,8
SK-MEL-31,Nilotinib,7.54642868
SK-MEL-5,Nilotinib,8
SK-MM-2,Nilotinib,8
SK-N-BE(2),Nilotinib,8
SK-N-SH,Nilotinib,5.205433846
SK-OV-3,Nilotinib,8
SNG-M,Nilotinib,8
SNU-1,Nilotinib,8
SNU-16,Nilotinib,0.049494644
SNU-182,Nilotinib,8
SNU-423,Nilotinib,8
SNU-449,Nilotinib,8
